BH000001|lhhb|A|USED BOX HATCHING EGGS|BH|USED BOX HATCHING EGGS|W|KG|1.0|425.0|01-50220|O||
C0039-1|OFF|A|COFFEEMIX @ 100 PACK|OT1|OTHER|Q|BKS|1.0|0.0|01-50101|O|0|
C0039-30|OFF|A|COFEEMIX @ 30 BH|OT1|OTHER|Q|BKS|1.0|0.0|01-50101|O|0|
C0039-3J|OFF|A|COFFEEMIX JAHE @ 30 BH|OT1|OTHER|Q|PACK|1.0|0.0|01-50101|O|0|
C0040|OFF|A|CD RW ASUS 48X24X52|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0040-V|OFF|A|CD RW VERBATIN 700MB @ 12|OT1|OTHER|Q|KTK|1.0|0.0|01-50101|O|0|
C0041|OFF|A|CRANK CASE|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0041-32|OFF|A|CRANK SHAFT 328|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0041-S|OFF|A|CRANK SHAFT|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0042-6|OFF|A|CANTOLAN GEMBOK 6 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0043|OFF|A|CDR GREEN CUATED VSN DISC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0044|OFF|A|COUNTER 6 DIGIT|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0045|OFF|A|COUPLING 125MM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0045-P|OFF|A|COUPLING POMPA + KARET|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
C0045-S|OFF|A|CDR SAMPUL|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0046|OFF|A|CELANA PANJANG BIRU|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0046-P|OFF|A|CELANA PANJANG GEMBROT|OT1|OTHER|Q|PSG|1.0|0.0|01-50101|O|0|
C0047|OFF|A|CON ROD SC 45|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0047-1|OFF|A|CHECK VALVE 1 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0047-2|OFF|A|CHECK VALVE 2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0047-CC|OFF|A|COVER CRANK CASE|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0047-S|OFF|A|CON ROD SOLO|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0048|OFF|A|CUCI KUR AS|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
C0049|OFF|A|CHARGER NOKIA|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0050|OFF|A|COUPLING SAMBUNGAN 1 1/2|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0050-2|OFF|A|CHAIM BLOCK (DEREK) 2 TON|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0051|OFF|A|CREDIT NOTE CF 91/2X11:2-|OT1|OTHER|Q|BOX|1.0|0.0|01-50101|O|0|
C0052|OFF|A|COIL SELENOID VALVE FE570|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0053|OFF|A|COLLER SOLO|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C0054|OFF|A|CLEAR HOLDER 20|OT1|OTHER|Q|PACK|1.0|0.0|01-50101|O|0|
C0065-CR|OFF|A|SELECTOR SWITCH CR253-1 (|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
C00C-S30|OFF|A|COCK SC 30|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
C00C-S45|OFF|A|COCK SC 45|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
D0001|OFF|A|DAUN JENDELA|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
D0002|OFF|A|DISKET 3 1/2  INC|OT1|OTHER|Q|KTK|1.0|0.0|01-50101|O|0|
D00026-1|OFF|A|DINAMO LISTRIK 1P 10 HP|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0002-S|OFF|A|DISPENSER SANEX|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0002-UC|OFF|A|DISPENSER UCHIDA|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0003|OFF|A|DANDANG MASAK NASI|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0004|OFF|A|FORM DA 1/2 NCR R2|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
D0004-6|OFF|A|DANDANG MASAK 6 KG|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
D0004-K|OFF|A|DANDANG KUKUS 10 KG|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0005|OFF|A|DRUM FORMALIN|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0006|OFF|A|DRUM KOSONG @200 LITER|OT1|OTHER|Q|DRUM|1.0|0.0|01-50101|O|0|
D0006-A|OFF|A|DRUM ASPAL|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0007|OFF|A|DOUBLE TAPE|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0008|OFF|A|DINAMO MODEL STC 24|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0008-2|OFF|A|DINAMO 2 HP 3 P|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0008-22|OFF|A|DINAMO SUBMERSIBLE 2.2KW|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0008-3|OFF|A|DINAMO 3P 3HP|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
D0008-31|OFF|A|DINAMO 3HP 1P 1400RPM|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0008-55|OFF|A|DINAMO 5.5HP 3 P|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0008-75|OFF|A|DINAMO 7.5HP 3P|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0008-HP|OFF|A|DINAMO 1 1/2 HP 3P 1500 R|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0008-T|OFF|A|DINAMO 1 HP 3P 1400 RPM T|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0009|OFF|A|DRIGEN  @20 LTR|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
D0009-5|OFF|A|DRIGEN 5L|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0010|OFF|A|DUDUKAN POMPA 4X2X40CM|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
D0010-50|OFF|A|DUDUKAN POMPA 4X2X50CM|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
D0011|OFF|A|DOP 3/4"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0011-1|OFF|A|DOP PVC 1"|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
D0011-34|OFF|A|DOP 1/2"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0012|OFF|A|DONGKRAK BTL 10 TON|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0012-12|OFF|A|DONGKRAK @ 12 TON|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0012-15|OFF|A|DONGKRAK 15 TON|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0012-20|OFF|A|DONGKRAK 20 TON|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0012-3|OFF|A|DONGKRAK 3 TON|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0012-3B|OFF|A|DONGKRAK BUAYA 2 TON|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0012-5|OFF|A|DONGKRAK 5 TON|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0013|OFF|A|DRUM NP 1215|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0013-12|OFF|A|D NEPEL BESI 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0013-14|OFF|A|D NEPEL BESI 1 1/4 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0013-2|OFF|A|D NEPEL BESI 2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0013-34|OFF|A|D NEEPLE BESI 3/4|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0014|OFF|A|DUDUKAN DINAMO|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0014-30|OFF|A|DCI MESIN BABAT|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0015|OFF|A|DEKSEL COMPRESOR SHARK 1|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0015-34|OFF|A|DOP DRAT DALAM 3/4 PVC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0016|OFF|A|DESIKLOS BP 30|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0017|OFF|A|DISCHARGE METAL SC45|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0017-30|OFF|A|DISCHARGE METAL SC30|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0017-J|OFF|A|DINAMO JM 15.150|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0018|OFF|A|DOUBLE TAPE|OT1|OTHER|Q|ROL|1.0|0.0|01-50101|O|0|
D0018-12|OFF|A|D NEPEL BESI 1/ INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0019|OFF|A|DRIVE SHAFT BP 30|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0019-20|OFF|A|DISP. NEEDLE 20G X 1/4 IN|OT1|OTHER|Q|BOX|1.0|0.0|01-50101|O|0|
D0019-22|OFF|A|DISP. NEEDLE 22G X 3/8 IN|OT1|OTHER|Q|BOX|1.0|0.0|01-50101|O|0|
D0020|OFF|A|DOUBLE NEPEL 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0020-1|OFF|A|D NEPEL 1 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0021|OFF|A|DNEPEL 3/8 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0021-45|OFF|A|D NEPEL 1/4 X 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0022|OFF|A|DAUN TEH|OT1|OTHER|Q|BKS|1.0|0.0|01-50101|O|0|
D0023|OFF|A|DUDUKAN ANTENA HP|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0024|OFF|A|DOUBLE NEPEL 2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
D0025|OFF|A|DEBIT NOTE CF 91/2X11:2-5|OT1|OTHER|Q|BOX|1.0|0.0|01-50101|O|0|
D0026-10|OFF|A|DINAMO LISTRIK 1P 10 HP|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
D0064|OFF|A|STRAPING BAND PT. LAP|OT1|OTHER|Q|ROL|1.0|0.0|01-50101|O|0|
D0064-01|OFF|A|STRAPING BAND|OT1|OTHER|Q|ROL|1.0|0.0|01-50101|O|0|
D0085-3|OFF|A|DO CF 9 1/2 X 11 3 PLY|OT1|OTHER|Q|KTK|1.0|0.0|01-50101|O|0|
E0001-01|OFF|A|ELBOW 1"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0001-05|OFF|A|ELBOW PVC 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0001-1|OFF|A|ELBOW 1 1/4 INC|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
E0001-12|OFF|A|ELBOW PVC 1 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0001-2|OFF|A|ELBOW 2 PVC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0001-34|OFF|A|ELBOW 3/4 "|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0001-4|OFF|A|ELBOW 4" PVC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0001-5|OFF|A|ELBOW PVC 5"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0002-05|OFF|A|ELBOW BESI 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0002-1|OFF|A|ELBOW BESI 1 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0002-14|OFF|A|ELBOW BESI 1 1/4|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0002-15|OFF|A|ELBOW BESI 1.5 MM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0002-2|OFF|A|ELBOW BESI 2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0002-3|OFF|A|ELBOW BESI 3/4 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0002-34|OFF|A|ELBOW 3/4 DRAT DLM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0003|OFF|A|EMBER HITAM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0003-B|OFF|A|EMBER ANTI PECAH 55 CM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0003-K|OFF|A|EMBER HITAM A.PECAH BERGA|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0004|OFF|A|ENGSEL|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
E0004-10|OFF|A|ENGSEL PINTU GERBANG 10"|OT1|OTHER|Q|PASA|1.0|0.0|01-50101|O|0|
E0004-2|OFF|A|ENGSEL PINTU 2 1/2"|OT1|OTHER|Q|PASA|1.0|0.0|01-50101|O|0|
E0004-3|OFF|A|ENGSEL PINTU 3"|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
E0004-4|OFF|A|ENGSEL PINTU 4 INC|OT1|OTHER|Q|PSNG|1.0|0.0|01-50101|O|0|
E0004-B|OFF|A|ENGSEL BUBUT 1 1/4"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0005-6|OFF|A|ENGSEL PINTU 6 INC|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
E0005-J3|OFF|A|ENGSEL JENDELA 3"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0005-P|OFF|A|ENGSEL JENDELA 4 INC|OT1|OTHER|Q|PSG|1.0|0.0|01-50101|O|0|
E0005-P5|OFF|A|ENGSEL PINTU 5"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0006|OFF|A|ELBOW 1 1/2"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0006-2|OFF|A|ELBOW PVC 2"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0006-3|OFF|A|ELBOW PVC 3 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0006-L4|OFF|A|ENGSEL LIPAT 4"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0007-1|OFF|A|ENGSEL BUBUT 1 INC|OT1|OTHER|Q|PSG|1.0|0.0|01-50101|O|0|
E0007-3|OFF|A|ENGSEL BUBUT 3/4|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0007-35|OFF|A|ENGSEL BUBUT 35 CM|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
E0007-EL|OFF|A|ELCB 40 A 4P ABB|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0008|OFF|A|ENGSEL GUDANG|OT1|OTHER|Q|PSG|1.0|0.0|01-50101|O|0|
E0008-25|OFF|A|ELCB 25A 2P FG|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0008-4|OFF|A|ELCB 4P 300MA 100A MG|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0008-40|OFF|A|ELCB 40A 2P FG|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0009|OFF|A|LAN CARD3COM3C905CTXM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0009-50|OFF|A|EXHAUST FAN OTOMATIC|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
E0010|OFF|A|ENGKOL D1.8|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0010-20|OFF|A|EMERGENCY LIGHT 20 W|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0011|OFF|A|EXTENSION LONG SOLO|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0012-34|OFF|A|ELBOW METAL 3/4|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0013-16|OFF|A|ELBOW LAS 1 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0013-5|OFF|A|ELBOW LAS 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0014-18|OFF|A|END CAP 185 MM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
E0015|OFF|A|ELEMENT RACOR|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
F0001|OFF|A|FARM DAILY POPULATION REP|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0001-FS|OFF|A|FARM STOCK DAILY REPORT H|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0001-VR|OFF|A|FARM VISITING RECORD|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0002|OFF|A|FOLIO BOOK|OT1|OTHER|Q|LSN|1.0|0.0|01-50101|O|0|
F00023|OFF|A|FILTER SOLAR YANMAR TS 23|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
F0004|OFF|A|FORM PENILAIAN / PRESTASI|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0004-05|OFF|A|FORM KARYAWAN 1/2 RIM|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0004-1|OFF|A|FORM PENILAIAN KARYAWAN H|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0004-1B|OFF|A|FORM PENILAIAN KARYAWAN|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0005|OFF|A|FORM PRESTASI|OT1|OTHER|Q|BLOC|1.0|0.0|01-50101|O|0|
F0005-05|OFF|A|FORM PRESTASI KARYAWAN 1/|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0006|OFF|A|FORM KOMENTAR|OT1|OTHER|Q|BLOC|1.0|0.0|01-50101|O|0|
F0006-05|OFF|A|FORM KOMENTAR 1/2  RIM|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0007|OFF|A|FORM DO|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0007-BH|OFF|A|FORM DO BRF/HAT|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0007-F|OFF|A|FORM DO F NCR R3|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0008|OFF|A|FORM PO FEED|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0008-B|OFF|A|FORM PO BROILER|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0008-GA|OFF|A|FORM PO (GAS,ATAL)|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0008-M|OFF|A|FORM PO MALINDO NCR R4|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0008-ME|OFF|A|FORM PO MEDICINE|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0009|OFF|A|FORM JURNAL VOUCER 1/2 HV|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0010|OFF|A|FORM BUKTI PENERIMAAN 1/2|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0010-1|OFF|A|FORM BP BREEDER 1/2F NCR|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0010-B|OFF|A|FORM BERITA ACARA PRODUKS|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0010-BP|OFF|A|FORM BERITA ACARA PENJUAL|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0011|OFF|A|FORM STOCK  CARD 1/2 BC|OT1|OTHER|Q|LEMB|1.0|200.0|01-50101|O|0|
F0011-BC|OFF|A|FORM STOCK CARD PAKAN BC|OT1|OTHER|Q|LBR|1.0|0.0|01-50101|O|0|
F0011-BM|OFF|A|FORM LAP STOK BRG/ MDC|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0011-SC|OFF|A|FORM SALES OF CHICK|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0011-SD|OFF|A|FORM STOCK DAILY REPORT F|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0011-SI|OFF|A|FORM SIZE PIR|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0011-SP|OFF|A|FORM SIZE PIR / RIM|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0012|OFF|A|FORM KARTU PERKIRAAN|OT1|OTHER|Q|LEMB|1.0|0.0|01-50101|O|0|
F0012-C|OFF|A|FORM KARTU CUTI KARYAWAN|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0012-KC|OFF|A|FORM KARTU CUTI KARYAWAN|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0013|OFF|A|FILLTER|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
F0013-E|OFF|A|FILTER ELEMENT|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
F0013-F|OFF|A|FUEL FILTER TF 300|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
F0013-LD|OFF|A|FILTER LD 2 INC (KLEP)|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
F0013-R|OFF|A|FILTER RACOR 2020PM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
F0014|OFF|A|FORM KOP SURAT HVS 70 GRA|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0015|OFF|A|FORM STOCK PAKAN|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0015-15|OFF|A|FUEL FILTER YANMAR TS 115|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
F0015-CP|OFF|A|FORM CODE PAKAN|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0015-SR|OFF|A|FORM STORE REQUISITION F|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0016|OFF|A|FORM PERMINTAAN SERVICE|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0016-PP|OFF|A|FORM PEKERJAAN PERBAIKAN|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0017-H|OFF|A|FORM KARTU KANDANG F HVS|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0017-M|OFF|A|FORM KARTU KANDANG  F BC|OT1|OTHER|Q|LBR|1.0|0.0|01-50101|O|0|
F0017-P|OFF|A|FORM KARTU KANDANG F BC T|OT1|OTHER|Q|LBR|1.0|0.0|01-50101|O|0|
F0018|OFF|A|FORM CASH PAYMENT VOUCHER|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0018-CA|OFF|A|FORM CA 1/2F NCR R2|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0018-CC|OFF|A|FORM CUSTOMER COMPLAIN NC|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0018-CF|OFF|A|FORM CF|OT1|OTHER|Q|KTK|1.0|0.0|01-50101|O|0|
F0018-CH|OFF|A|FORM CHICKEN HOUSE SOURCE|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0018-CM|OFF|A|FORM CHICK MASTER F HVS|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0018-CN|OFF|A|FORM CNE 1/2F NCR R4|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0018-CS|OFF|A|FORM CASH SALE|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0018-CU|OFF|A|FORM CUTI F NCR R2|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0019|OFF|A|FORM SURAT PENGANTAR BARA|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0019-IM|OFF|A|FORM SURAT IJIN MASUK HAT|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0020|OFF|A|FORM SURAT JALAN|OT1|OTHER|Q|BLOK|1.0|12500.0|01-50101|O|0|
F0020-G|OFF|A|FORM SURAT JALAN (GDG)|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0020-HS|OFF|A|FORM SURAT KET. SURVEI TA|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0020-P|OFF|A|FORM SURAT PERNYATAAN 1F|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0020-PS|OFF|A|FORM S. PENGANTAR SETORAN|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0020-S|OFF|A|FORM SURAT ORDER|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0020-SC|OFF|A|FORM SURAT JALAN SCI|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0020-SP|OFF|A|FORM SURAT PERMOHONAN PAN|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0020-TF|OFF|A|FORM SURAT JALAN/TF NCR R|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0020-TN|OFF|A|FORM SURAT JALAN NOMOR|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0021|OFF|A|FORM SRN|OT1|OTHER|Q|BLOK|1.0|7500.0|01-50101|O|0|
F0022|OFF|A|FORM BANK PAYMENT VOUCER|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0022-BD|OFF|A|FORM BODY WEIGHT F HVS|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
F0022-BO|OFF|A|FORM BPV BROILER|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0022-BR|OFF|A|FORM BPV BREEDER|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0022-K|OFF|A|FORM BUKTI KAS KELUAR|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0023|OFF|A|FORM MEMO|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
F0023-12|OFF|A|FORM MEMO 1/2F HVS  RIM|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0023-M|OFF|A|FORM MONTHLY EXPENSES|OT1|OTHER|Q|RIM|1.0|0.0|01-50101|O|0|
F0023-MR|OFF|A|FORM MR|OT1|OTHER|Q|BLOK|1.0|0.0|01-50101|O|0|
